     Node ID,     X Coord,     Y Coord,           Y
        4109,  2.3400e+01, -7.5000e-03, -5.3431e-03
        4110,  2.3550e+01, -7.1875e-03, -5.2343e-03
        4111,  2.3700e+01, -6.8750e-03, -5.1227e-03
        4112,  2.3850e+01, -6.5625e-03, -5.0082e-03
        4113,  2.4000e+01, -6.2500e-03, -4.8905e-03
        4114,  2.4150e+01, -5.9375e-03, -4.7696e-03
        4115,  2.4300e+01, -5.6250e-03, -4.6450e-03
        4116,  2.4450e+01, -5.3125e-03, -4.5165e-03
        4117,  2.4600e+01, -5.0000e-03, -4.3837e-03
        4118,  2.4750e+01, -4.6875e-03, -4.2462e-03
        4119,  2.4900e+01, -4.3750e-03, -4.1036e-03
        4120,  2.5050e+01, -4.0625e-03, -3.9552e-03
        4121,  2.5200e+01, -3.7500e-03, -3.8005e-03
        4122,  2.5350e+01, -3.4375e-03, -3.6387e-03
        4123,  2.5500e+01, -3.1250e-03, -3.4686e-03
        4124,  2.5650e+01, -2.8125e-03, -3.2891e-03
        4125,  2.5800e+01, -2.5000e-03, -3.0986e-03
        4126,  2.5950e+01, -2.1875e-03, -2.8945e-03
        4127,  2.6100e+01, -1.8750e-03, -2.6745e-03
        4128,  2.6250e+01, -1.5625e-03, -2.4329e-03
        4129,  2.6400e+01, -1.2500e-03, -2.1662e-03
        4130,  2.6550e+01, -9.3750e-04, -1.8488e-03
        4131,  2.6700e+01, -6.2500e-04, -1.4854e-03
        4132,  2.6850e+01, -3.1250e-04, -1.0412e-03
        4133,  2.6850e+01,  3.1250e-04,  1.0212e-03
        4134,  2.6700e+01,  6.2500e-04,  1.4812e-03
        4135,  2.6550e+01,  9.3750e-04,  1.8607e-03
        4136,  2.6400e+01,  1.2500e-03,  2.1720e-03
        4137,  2.6250e+01,  1.5625e-03,  2.4376e-03
        4138,  2.6100e+01,  1.8750e-03,  2.6792e-03
        4139,  2.5950e+01,  2.1875e-03,  2.8991e-03
        4140,  2.5800e+01,  2.5000e-03,  3.1011e-03
        4141,  2.5650e+01,  2.8125e-03,  3.2919e-03
        4142,  2.5500e+01,  3.1250e-03,  3.4715e-03
        4143,  2.5350e+01,  3.4375e-03,  3.6411e-03
        4144,  2.5200e+01,  3.7500e-03,  3.8029e-03
        4145,  2.5050e+01,  4.0625e-03,  3.9575e-03
        4146,  2.4900e+01,  4.3750e-03,  4.1057e-03
        4147,  2.4750e+01,  4.6875e-03,  4.2483e-03
        4148,  2.4600e+01,  5.0000e-03,  4.3860e-03
        4149,  2.4450e+01,  5.3125e-03,  4.5189e-03
        4150,  2.4300e+01,  5.6250e-03,  4.6475e-03
        4151,  2.4150e+01,  5.9375e-03,  4.7722e-03
        4152,  2.4000e+01,  6.2500e-03,  4.8930e-03
        4153,  2.3850e+01,  6.5625e-03,  5.0107e-03
        4154,  2.3700e+01,  6.8750e-03,  5.1253e-03
        4155,  2.3550e+01,  7.1875e-03,  5.2369e-03
        4156,  2.3400e+01,  7.5000e-03,  5.3459e-03
        4255,  2.7000e+01,  0.0000e+00,  1.0563e-05
