a,Kmax,Kmin,DeltaK,R
1.0,5444485.7061650185,544448.5706165018,4900037.135548517,0.1
10.0,10205562.20045523,1020556.220045523,9185005.980409708,0.1
15.0,13588583.586140478,1358858.358614048,12229725.22752643,0.1
20.0,16646301.545344375,1664630.1545344377,14981671.390809938,0.1
25.0,19710366.88882949,1971036.6888829488,17739330.19994654,0.1
30.0,23296002.18744703,2329600.218744703,20966401.968702327,0.1
35.0,27063034.231005955,2706303.423100596,24356730.80790536,0.1
40.0,30677763.27867904,3067776.327867904,27609986.950811137,0.1
45.0,34332166.59795347,3433216.659795347,30898949.93815812,0.1
50.0,39546586.15606124,3954658.615606124,35591927.54045512,0.1
55.0,44503855.495251216,4450385.549525122,40053469.9457261,0.1
