     Node ID,     X Coord,     Y Coord,           Y
        7321,  3.6781e+01, -9.4421e-03, -2.1236e-02
        7322,  3.6931e+01, -9.3348e-03, -2.1129e-02
        7323,  3.7082e+01, -9.2275e-03, -2.1021e-02
        7324,  3.7232e+01, -9.1202e-03, -2.0912e-02
        7325,  3.7382e+01, -9.0129e-03, -2.0803e-02
        7326,  3.7532e+01, -8.9056e-03, -2.0692e-02
        7327,  3.7682e+01, -8.7983e-03, -2.0581e-02
        7328,  3.7833e+01, -8.6910e-03, -2.0468e-02
        7329,  3.7983e+01, -8.5837e-03, -2.0354e-02
        7330,  3.8133e+01, -8.4764e-03, -2.0240e-02
        7331,  3.8283e+01, -8.3691e-03, -2.0124e-02
        7332,  3.8433e+01, -8.2618e-03, -2.0008e-02
        7333,  3.8584e+01, -8.1545e-03, -1.9890e-02
        7334,  3.8734e+01, -8.0472e-03, -1.9771e-02
        7335,  3.8884e+01, -7.9399e-03, -1.9651e-02
        7336,  3.9034e+01, -7.8326e-03, -1.9530e-02
        7337,  3.9185e+01, -7.7253e-03, -1.9408e-02
        7338,  3.9335e+01, -7.6180e-03, -1.9284e-02
        7339,  3.9485e+01, -7.5107e-03, -1.9159e-02
        7340,  3.9635e+01, -7.4034e-03, -1.9033e-02
        7341,  3.9785e+01, -7.2961e-03, -1.8906e-02
        7342,  3.9936e+01, -7.1888e-03, -1.8778e-02
        7343,  4.0086e+01, -7.0815e-03, -1.8648e-02
        7344,  4.0236e+01, -6.9742e-03, -1.8517e-02
        7345,  4.0386e+01, -6.8670e-03, -1.8385e-02
        7346,  4.0536e+01, -6.7597e-03, -1.8251e-02
        7347,  4.0687e+01, -6.6524e-03, -1.8116e-02
        7348,  4.0837e+01, -6.5451e-03, -1.7979e-02
        7349,  4.0987e+01, -6.4378e-03, -1.7841e-02
        7350,  4.1137e+01, -6.3305e-03, -1.7702e-02
        7351,  4.1288e+01, -6.2232e-03, -1.7561e-02
        7352,  4.1438e+01, -6.1159e-03, -1.7418e-02
        7353,  4.1588e+01, -6.0086e-03, -1.7274e-02
        7354,  4.1738e+01, -5.9013e-03, -1.7128e-02
        7355,  4.1888e+01, -5.7940e-03, -1.6981e-02
        7356,  4.2039e+01, -5.6867e-03, -1.6831e-02
        7357,  4.2189e+01, -5.5794e-03, -1.6680e-02
        7358,  4.2339e+01, -5.4721e-03, -1.6528e-02
        7359,  4.2489e+01, -5.3648e-03, -1.6373e-02
        7360,  4.2639e+01, -5.2575e-03, -1.6216e-02
        7361,  4.2790e+01, -5.1502e-03, -1.6058e-02
        7362,  4.2940e+01, -5.0429e-03, -1.5898e-02
        7363,  4.3090e+01, -4.9356e-03, -1.5735e-02
        7364,  4.3240e+01, -4.8283e-03, -1.5570e-02
        7365,  4.3391e+01, -4.7210e-03, -1.5403e-02
        7366,  4.3541e+01, -4.6137e-03, -1.5235e-02
        7367,  4.3691e+01, -4.5064e-03, -1.5063e-02
        7368,  4.3841e+01, -4.3991e-03, -1.4890e-02
        7369,  4.3991e+01, -4.2918e-03, -1.4713e-02
        7370,  4.4142e+01, -4.1845e-03, -1.4535e-02
        7371,  4.4292e+01, -4.0773e-03, -1.4353e-02
        7372,  4.4442e+01, -3.9700e-03, -1.4169e-02
        7373,  4.4592e+01, -3.8627e-03, -1.3982e-02
        7374,  4.4742e+01, -3.7554e-03, -1.3792e-02
        7375,  4.4893e+01, -3.6481e-03, -1.3599e-02
