     Node ID,     X Coord,     Y Coord,           Y
        3995,  2.2015e+01, -7.4627e-03, -4.8096e-03
        3996,  2.2164e+01, -7.0896e-03, -4.6907e-03
        3997,  2.2313e+01, -6.7164e-03, -4.5682e-03
        3998,  2.2463e+01, -6.3433e-03, -4.4418e-03
        3999,  2.2612e+01, -5.9701e-03, -4.3113e-03
        4000,  2.2761e+01, -5.5970e-03, -4.1761e-03
        4001,  2.2910e+01, -5.2239e-03, -4.0359e-03
        4002,  2.3060e+01, -4.8507e-03, -3.8901e-03
        4003,  2.3209e+01, -4.4776e-03, -3.7379e-03
        4004,  2.3358e+01, -4.1045e-03, -3.5787e-03
        4005,  2.3507e+01, -3.7313e-03, -3.4114e-03
        4006,  2.3657e+01, -3.3582e-03, -3.2348e-03
        4007,  2.3806e+01, -2.9851e-03, -3.0473e-03
        4008,  2.3955e+01, -2.6119e-03, -2.8465e-03
        4009,  2.4104e+01, -2.2388e-03, -2.6299e-03
        4010,  2.4254e+01, -1.8657e-03, -2.3919e-03
        4011,  2.4403e+01, -1.4925e-03, -2.1293e-03
        4012,  2.4552e+01, -1.1194e-03, -1.8197e-03
        4013,  2.4701e+01, -7.4627e-04, -1.4481e-03
        4014,  2.4851e+01, -3.7313e-04, -1.0018e-03
        4015,  2.4851e+01,  3.7313e-04,  1.0022e-03
        4016,  2.4701e+01,  7.4627e-04,  1.4503e-03
        4017,  2.4552e+01,  1.1194e-03,  1.8214e-03
        4018,  2.4403e+01,  1.4925e-03,  2.1285e-03
        4019,  2.4254e+01,  1.8657e-03,  2.3910e-03
        4020,  2.4104e+01,  2.2388e-03,  2.6288e-03
        4021,  2.3955e+01,  2.6119e-03,  2.8455e-03
        4022,  2.3806e+01,  2.9851e-03,  3.0459e-03
        4023,  2.3657e+01,  3.3582e-03,  3.2332e-03
        4024,  2.3507e+01,  3.7313e-03,  3.4098e-03
        4025,  2.3358e+01,  4.1045e-03,  3.5770e-03
        4026,  2.3209e+01,  4.4776e-03,  3.7360e-03
        4027,  2.3060e+01,  4.8507e-03,  3.8879e-03
        4028,  2.2910e+01,  5.2239e-03,  4.0335e-03
        4029,  2.2761e+01,  5.5970e-03,  4.1736e-03
        4030,  2.2612e+01,  5.9701e-03,  4.3086e-03
        4031,  2.2463e+01,  6.3433e-03,  4.4389e-03
        4032,  2.2313e+01,  6.7164e-03,  4.5652e-03
        4033,  2.2164e+01,  7.0896e-03,  4.6876e-03
        4034,  2.2015e+01,  7.4627e-03,  4.8065e-03
        4124,  2.5000e+01,  0.0000e+00,  2.2575e-06
