       Node ID,       X Coord,       Y Coord,             Y
          3118,  1.707405e+01, -1.203704e-02, -3.399909e-03
          3119,  1.722220e+01, -1.111111e-02, -3.271411e-03
          3120,  1.737035e+01, -1.018518e-02, -3.136425e-03
          3121,  1.751850e+01, -9.259258e-03, -2.994154e-03
          3122,  1.766665e+01, -8.333333e-03, -2.843346e-03
          3123,  1.781479e+01, -7.407407e-03, -2.682311e-03
          3124,  1.796294e+01, -6.481481e-03, -2.509243e-03
          3125,  1.811109e+01, -5.555555e-03, -2.321231e-03
          3126,  1.825924e+01, -4.629629e-03, -2.113769e-03
          3127,  1.840739e+01, -3.703703e-03, -1.884046e-03
          3128,  1.855553e+01, -2.777778e-03, -1.610819e-03
          3129,  1.870368e+01, -1.851852e-03, -1.281134e-03
          3130,  1.885183e+01, -9.259259e-04, -8.875218e-04
          3131,  1.885183e+01,  9.259259e-04,  8.797181e-04
          3132,  1.870368e+01,  1.851852e-03,  1.276979e-03
          3133,  1.855553e+01,  2.777778e-03,  1.613020e-03
          3134,  1.840739e+01,  3.703703e-03,  1.883426e-03
          3135,  1.825924e+01,  4.629629e-03,  2.114566e-03
          3136,  1.811109e+01,  5.555555e-03,  2.322145e-03
          3137,  1.796294e+01,  6.481481e-03,  2.510253e-03
          3138,  1.781479e+01,  7.407407e-03,  2.683158e-03
          3139,  1.766665e+01,  8.333333e-03,  2.844005e-03
          3140,  1.751850e+01,  9.259258e-03,  2.995557e-03
          3141,  1.737035e+01,  1.018518e-02,  3.137899e-03
          3142,  1.722220e+01,  1.111111e-02,  3.272939e-03
          3143,  1.707405e+01,  1.203704e-02,  3.401472e-03
          3200,  1.899998e+01,  0.000000e+00,  4.077770e-06
