     Node ID,     X Coord,     Y Coord,           Y
        3123,  1.9050e+01, -8.1250e-03, -3.6864e-03
        3124,  1.9200e+01, -7.5000e-03, -3.5438e-03
        3125,  1.9350e+01, -6.8750e-03, -3.3944e-03
        3126,  1.9500e+01, -6.2500e-03, -3.2372e-03
        3127,  1.9650e+01, -5.6250e-03, -3.0709e-03
        3128,  1.9800e+01, -5.0000e-03, -2.8941e-03
        3129,  1.9950e+01, -4.3750e-03, -2.7044e-03
        3130,  2.0100e+01, -3.7500e-03, -2.4996e-03
        3131,  2.0250e+01, -3.1250e-03, -2.2741e-03
        3132,  2.0400e+01, -2.5000e-03, -2.0258e-03
        3133,  2.0550e+01, -1.8750e-03, -1.7305e-03
        3134,  2.0700e+01, -1.2500e-03, -1.3801e-03
        3135,  2.0850e+01, -6.2500e-04, -9.5624e-04
        3136,  2.0850e+01,  6.2500e-04,  9.5518e-04
        3137,  2.0700e+01,  1.2500e-03,  1.3839e-03
        3138,  2.0550e+01,  1.8750e-03,  1.7437e-03
        3139,  2.0400e+01,  2.5000e-03,  2.0313e-03
        3140,  2.0250e+01,  3.1250e-03,  2.2826e-03
        3141,  2.0100e+01,  3.7500e-03,  2.5069e-03
        3142,  1.9950e+01,  4.3750e-03,  2.7108e-03
        3143,  1.9800e+01,  5.0000e-03,  2.8995e-03
        3144,  1.9650e+01,  5.6250e-03,  3.0763e-03
        3145,  1.9500e+01,  6.2500e-03,  3.2422e-03
        3146,  1.9350e+01,  6.8750e-03,  3.3990e-03
        3147,  1.9200e+01,  7.5000e-03,  3.5481e-03
        3148,  1.9050e+01,  8.1250e-03,  3.6900e-03
        3218,  2.1000e+01,  0.0000e+00,  1.0757e-05
