     Node ID,     X Coord,     Y Coord,           Y
        3091,  2.0585e+01, -7.5472e-03, -4.2398e-03
        3092,  2.0736e+01, -7.0755e-03, -4.1073e-03
        3093,  2.0887e+01, -6.6038e-03, -3.9698e-03
        3094,  2.1038e+01, -6.1321e-03, -3.8266e-03
        3095,  2.1189e+01, -5.6604e-03, -3.6773e-03
        3096,  2.1340e+01, -5.1887e-03, -3.5209e-03
        3097,  2.1491e+01, -4.7170e-03, -3.3566e-03
        3098,  2.1641e+01, -4.2453e-03, -3.1829e-03
        3099,  2.1792e+01, -3.7736e-03, -2.9985e-03
        3100,  2.1943e+01, -3.3019e-03, -2.8008e-03
        3101,  2.2094e+01, -2.8302e-03, -2.5876e-03
        3102,  2.2245e+01, -2.3585e-03, -2.3531e-03
        3103,  2.2396e+01, -1.8868e-03, -2.0939e-03
        3104,  2.2547e+01, -1.4151e-03, -1.7896e-03
        3105,  2.2698e+01, -9.4340e-04, -1.4210e-03
        3106,  2.2849e+01, -4.7170e-04, -9.7913e-04
        3107,  2.2849e+01,  4.7170e-04,  9.9155e-04
        3108,  2.2698e+01,  9.4340e-04,  1.4270e-03
        3109,  2.2547e+01,  1.4151e-03,  1.7946e-03
        3110,  2.2396e+01,  1.8868e-03,  2.0985e-03
        3111,  2.2245e+01,  2.3585e-03,  2.3603e-03
        3112,  2.2094e+01,  2.8302e-03,  2.5938e-03
        3113,  2.1943e+01,  3.3019e-03,  2.8064e-03
        3114,  2.1792e+01,  3.7736e-03,  3.0041e-03
        3115,  2.1641e+01,  4.2453e-03,  3.1883e-03
        3116,  2.1491e+01,  4.7170e-03,  3.3612e-03
        3117,  2.1340e+01,  5.1887e-03,  3.5255e-03
        3118,  2.1189e+01,  5.6604e-03,  3.6819e-03
        3119,  2.1038e+01,  6.1321e-03,  3.8310e-03
        3120,  2.0887e+01,  6.6038e-03,  3.9739e-03
        3121,  2.0736e+01,  7.0755e-03,  4.1117e-03
        3122,  2.0585e+01,  7.5472e-03,  4.2438e-03
        3202,  2.3000e+01,  0.0000e+00,  5.1139e-06
