     Node ID,     X Coord,     Y Coord,           Y
       11592,  5.2838e+01, -6.0811e-03, -2.0145e-02
       11593,  5.2988e+01, -6.0060e-03, -2.0022e-02
       11594,  5.3138e+01, -5.9309e-03, -1.9899e-02
       11595,  5.3288e+01, -5.8559e-03, -1.9775e-02
       11596,  5.3438e+01, -5.7808e-03, -1.9650e-02
       11597,  5.3589e+01, -5.7057e-03, -1.9523e-02
       11598,  5.3739e+01, -5.6306e-03, -1.9396e-02
       11599,  5.3889e+01, -5.5556e-03, -1.9268e-02
       11600,  5.4039e+01, -5.4805e-03, -1.9139e-02
       11601,  5.4189e+01, -5.4054e-03, -1.9009e-02
       11602,  5.4339e+01, -5.3303e-03, -1.8878e-02
       11603,  5.4489e+01, -5.2553e-03, -1.8746e-02
       11604,  5.4640e+01, -5.1802e-03, -1.8612e-02
       11605,  5.4790e+01, -5.1051e-03, -1.8478e-02
       11606,  5.4940e+01, -5.0300e-03, -1.8343e-02
       11607,  5.5090e+01, -4.9550e-03, -1.8206e-02
       11608,  5.5240e+01, -4.8799e-03, -1.8068e-02
       11609,  5.5390e+01, -4.8048e-03, -1.7929e-02
       11610,  5.5541e+01, -4.7297e-03, -1.7789e-02
       11611,  5.5691e+01, -4.6547e-03, -1.7648e-02
       11612,  5.5841e+01, -4.5796e-03, -1.7505e-02
       11613,  5.5991e+01, -4.5045e-03, -1.7361e-02
       11614,  5.6141e+01, -4.4294e-03, -1.7216e-02
       11615,  5.6291e+01, -4.3544e-03, -1.7070e-02
       11616,  5.6441e+01, -4.2793e-03, -1.6922e-02
       11617,  5.6592e+01, -4.2042e-03, -1.6772e-02
       11618,  5.6742e+01, -4.1291e-03, -1.6622e-02
       11619,  5.6892e+01, -4.0541e-03, -1.6469e-02
       11620,  5.7042e+01, -3.9790e-03, -1.6316e-02
       11621,  5.7192e+01, -3.9039e-03, -1.6160e-02
       11622,  5.7342e+01, -3.8288e-03, -1.6004e-02
       11623,  5.7492e+01, -3.7538e-03, -1.5845e-02
       11624,  5.7643e+01, -3.6787e-03, -1.5685e-02
       11625,  5.7793e+01, -3.6036e-03, -1.5523e-02
       11626,  5.7943e+01, -3.5285e-03, -1.5360e-02
       11627,  5.8093e+01, -3.4535e-03, -1.5194e-02
       11628,  5.8243e+01, -3.3784e-03, -1.5027e-02
       11629,  5.8393e+01, -3.3033e-03, -1.4858e-02
       11630,  5.8544e+01, -3.2282e-03, -1.4687e-02
       11631,  5.8694e+01, -3.1532e-03, -1.4513e-02
       11632,  5.8844e+01, -3.0781e-03, -1.4338e-02
       11633,  5.8994e+01, -3.0030e-03, -1.4160e-02
       11634,  5.9144e+01, -2.9279e-03, -1.3980e-02
       11635,  5.9294e+01, -2.8529e-03, -1.3798e-02
       11636,  5.9444e+01, -2.7778e-03, -1.3613e-02
       11637,  5.9595e+01, -2.7027e-03, -1.3426e-02
       11638,  5.9745e+01, -2.6276e-03, -1.3236e-02
       11639,  5.9895e+01, -2.5526e-03, -1.3043e-02
       11640,  6.0045e+01, -2.4775e-03, -1.2847e-02
       11641,  6.0195e+01, -2.4024e-03, -1.2649e-02
       11642,  6.0345e+01, -2.3273e-03, -1.2447e-02
       11643,  6.0495e+01, -2.2523e-03, -1.2242e-02
       11644,  6.0646e+01, -2.1772e-03, -1.2033e-02
       11645,  6.0796e+01, -2.1021e-03, -1.1821e-02
       11646,  6.0946e+01, -2.0270e-03, -1.1605e-02
       11647,  6.1096e+01, -1.9520e-03, -1.1385e-02
       11648,  6.1246e+01, -1.8769e-03, -1.1161e-02
       11649,  6.1396e+01, -1.8018e-03, -1.0932e-02
       11650,  6.1547e+01, -1.7267e-03, -1.0698e-02
       11651,  6.1697e+01, -1.6517e-03, -1.0459e-02
       11652,  6.1847e+01, -1.5766e-03, -1.0214e-02
       11653,  6.1997e+01, -1.5015e-03, -9.9638e-03
       11654,  6.2147e+01, -1.4264e-03, -9.7070e-03
       11655,  6.2297e+01, -1.3514e-03, -9.4436e-03
       11656,  6.2447e+01, -1.2763e-03, -9.1727e-03
       11657,  6.2598e+01, -1.2012e-03, -8.8934e-03
       11658,  6.2748e+01, -1.1261e-03, -8.6052e-03
       11659,  6.2898e+01, -1.0511e-03, -8.3074e-03
       11660,  6.3048e+01, -9.7598e-04, -7.9987e-03
       11661,  6.3198e+01, -9.0090e-04, -7.6779e-03
       11662,  6.3348e+01, -8.2583e-04, -7.3434e-03
       11663,  6.3498e+01, -7.5075e-04, -6.9931e-03
       11664,  6.3649e+01, -6.7568e-04, -6.6247e-03
       11665,  6.3799e+01, -6.0060e-04, -6.2348e-03
       11666,  6.3949e+01, -5.2553e-04, -5.8194e-03
       11667,  6.4099e+01, -4.5045e-04, -5.3723e-03
       11668,  6.4249e+01, -3.7538e-04, -4.8857e-03
       11669,  6.4399e+01, -3.0030e-04, -4.3442e-03
       11670,  6.4550e+01, -2.2523e-04, -3.7338e-03
       11671,  6.4700e+01, -1.5015e-04, -2.9783e-03
       11672,  6.4850e+01, -7.5075e-05, -2.0872e-03
       11673,  6.4850e+01,  7.5075e-05,  2.1043e-03
